Date,Commodity No,Commodity ,UN code ,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM
11/1/2020,85049000,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",FR,FRANCE,1905.90642,5068.900053,1.5,1.5,KG
11/1/2020,85049000,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",GB,UNITED KINGDOM,714.7529296,1900.938642,38.226,38.226,KG
11/1/2020,85049000,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",IN,INDIA,1066.698218,2836.963346,575.892,575.892,KG
11/1/2020,85049000,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",KR,REPUBLIC OF KOREA,2644.314749,7032.751993,205,205,KG
11/1/2020,85049000,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",PH,PHILIPPINES,2278.004676,6058.523076,119.914,119.914,KG
11/1/2020,85051100,PERMANENT MAGNETS AND THE LIKE OF METAL,IN,INDIA,64.34455222,171.1291282,21.2,192,NO
11/1/2020,85051900,OTHER PERMANENT MAGNETS AND THE LIKE,CN,CHINA,18.71487396,49.77360096,1.602,63,NO
11/1/2020,85051900,OTHER PERMANENT MAGNETS AND THE LIKE,IT,ITALY,326.5925111,868.5971039,7.012,487,NO
11/1/2020,85052000,"ELECTROMAGNETIC COUPLINGS, CLUTCHES ABD BRAKES",IN,INDIA,37.9841,101.0215426,147.739,1,NO
11/1/2020,85052000,"ELECTROMAGNETIC COUPLINGS, CLUTCHES ABD BRAKES",MX,MEXICO,198.3971481,527.6519895,8,36,NO
11/1/2020,85052000,"ELECTROMAGNETIC COUPLINGS, CLUTCHES ABD BRAKES",MY,MALAYSIA,100.8411175,268.1944615,102.086,1,NO
11/1/2020,85052000,"ELECTROMAGNETIC COUPLINGS, CLUTCHES ABD BRAKES",US,UNITED STATES OF AMERICA,1652.161686,4394.047037,70.91,19,NO
11/1/2020,85059000,"OTHER ELECTRO-MAGNETIC ARTICLES, INCLUDING PARTS",CH,SWITZERLAND,337.5501458,897.7397494,3,3,KG
11/1/2020,85059000,"OTHER ELECTRO-MAGNETIC ARTICLES, INCLUDING PARTS",DK,DENMARK,3310.677748,8804.994011,2131,2131,KG
11/1/2020,85059000,"OTHER ELECTRO-MAGNETIC ARTICLES, INCLUDING PARTS",MX,MEXICO,575.2865457,1530.017409,51.72,51.72,KG
11/1/2020,85059000,"OTHER ELECTRO-MAGNETIC ARTICLES, INCLUDING PARTS",TH,THAILAND,18.39362856,48.91922489,1.254,1.254,KG
11/1/2020,85061010,"DRY CELLS (BATTERIES) MANGANESE DIOXIDE FOR THE PORTABLE EQUIPMENT,1.5 VOLT AND OVER MANGANESE DIOXIDE",BE,BELGIUM,9930.431232,26410.72136,3468.64,24220,NO
11/1/2020,85061010,"DRY CELLS (BATTERIES) MANGANESE DIOXIDE FOR THE PORTABLE EQUIPMENT,1.5 VOLT AND OVER MANGANESE DIOXIDE",ID,INDONESIA,9846.404593,26187.24626,4444.59,347720,NO
